Title,Price,Location,Size,Rooms,Yard
Ensittarvägen 37,2850000.0,"Södra Sunderbyn, Luleå kommun",130.0,4.0,559.0
Flarkenvägen 2,3495000.0,"Rutvik, Luleå kommun",247.0,8.0,999.0
Sandgatan 12,995000.0,"Svartöstaden, Luleå kommun",62.0,2.0,
Tullgatan 31A,995000.0,"Centrum, Luleå kommun",22.0,1.0,
Lingonstigen 53,1645000.0,"Kallkällan, Luleå kommun",84.5,3.0,
Tjärnbergsvägen 32,995000.0,"Råneå, Luleå kommun",109.0,3.0,1047.0
Nordanträsk 28,8995000.0,"Södra Sunderbyn, Luleå kommun",250.0,6.0,7781.0
Västra Varvsgatan 16B,1550000.0,"Varvet, Luleå kommun",51.5,2.0,
Kälkholmen 99,,"Lövskär, Luleå kommun",,,1803.0
Björkgatan 21,1395000.0,"Bergviken, Luleå kommun",39.0,1.0,
Munkebergsgatan 54,995000.0,"Mjölkudden/Munkeberg, Luleå kommun",33.5,1.0,
Munkebergsgatan 72,1225000.0,"Mjölkudden, Luleå kommun",60.5,2.0,
Rönngatan 8,5895000.0,"Östermalm, Luleå kommun",235.0,7.0,648.0
Tullgatan 10,2695000.0,"Luleå, Luleå kommun",93.0,4.0,
Sandgatan 8,875000.0,"Svartöstaden, Luleå kommun",62.0,2.0,
Västra Varvsgatan 20A,1050000.0,"Centrum-Varvet, Luleå kommun",52.0,2.0,
Martin Ljungs gata 6,5995000.0,"Notviken, Luleå kommun",216.0,5.0,840.0
Knektgränd 9,5495000.0,"Lulsundet, Luleå kommun",195.0,6.0,803.0
Munkebergsgatan 88,850000.0,"Mjölkudden, Luleå kommun",33.5,1.0,
Majvägen 19,1450000.0,"Bergviken, Luleå kommun",55.5,2.0,
Stationsgatan 31 D,1650000.0,"Centrum, Luleå kommun",45.0,2.0,
Revelsudden 3,,"Revelsudden, Luleå kommun",,,1008.0
Residensgatan 4 D,975000.0,"Centrum/Varvet, Luleå kommun",45.0,1.0,
Majvägen 15,1195000.0,"Bergviken, Luleå kommun",43.0,1.0,
Sjötorpsvägen 8,,"Kallviken, Luleå kommun",,,5214.0
Sandviksgatan 78B,2195000.0,"Centrum, Luleå kommun",69.5,3.0,
Södra Prästholm 648,250000.0,"Södra Prästholm, Luleå kommun",200.0,6.0,1318.0
Forsnäs 239,250000.0,"Niemisel, Luleå kommun",75.0,2.0,1382.0
Knösenvägen 288,3395000.0,"Norra Sunderbyn, Luleå kommun",100.0,4.0,11000.0
Björkgatan 39,1350000.0,"Bergviken, Luleå kommun",57.0,2.0,
Snövägen 184,1495000.0,"Björkskatan, Luleå kommun",75.5,3.0,
Måttsundsvägen 395,2150000.0,"Måttsund/Fisketorpet, Luleå kommun",100.0,2.0,3528.0
Sjögatan 7A,1395000.0,"Bergviken, Luleå kommun",45.0,2.0,
Brogatan 12 B,695000.0,"Skurholmen, Luleå kommun",29.0,1.0,
Burströmsvägen 66,1195000.0,"Burströmska Gärdan, Luleå kommun",75.5,3.0,
Jaktviksvägen 38,1195000.0,"Kallax, Luleå kommun",50.0,2.0,2099.0
Norramarksvägen 210,,"Södra Sunderbyn, Luleå kommun",,,20000.0
Västisundet 71,1795000.0,"Hindersön, Luleå kommun",83.0,3.0,1512.0
Munkebergsgatan 84,1795000.0,"Mjölkudden/Munkeberg, Luleå kommun",95.0,4.0,
Degerselsvägen 436,295000.0,"Niemisel, Bodens kommun",70.0,4.0,1524.0
Krokvattnetvägen 160,995000.0,"Luleå, Piteå kommun",104.0,3.0,1082.0
Långviks Glasbruksväg 85,1950000.0,"Långvik, Piteå kommun",71.0,3.0,5576.0
Sävastnäs 233,495000.0,"Sävast, Bodens kommun",70.0,2.0,975.0
Mårdstigen 8,1195000.0,"Långvik, Piteå kommun",59.0,2.0,1574.0
Sävastnäs 7,3395000.0,"Sävastnäs, Bodens kommun",144.0,3.0,26000.0
Forsträskhed 99,325000.0,"Niemisel, Bodens kommun",116.0,2.0,1723.0
Långträskvägen 246,700000.0,"Sjulsmark, Piteå kommun",295.0,5.0,1736.0
Vibbyn 1,2495000.0,"Skatamark, Bodens kommun",311.0,6.0,100000.0
,,,,,
,,,,,
,,,,,
